index,address,bathrooms,country,detailedType.subTypology,detailedType.typology,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts.subtitle,suggestedTexts.title,thumbnail,url
0,BENET MATEU,2,es,,flat,Sarrià-Sant Gervasi,False,OLLE430000,2,False,False,True,False,False,41.3963255,2.1251025,Barcelona,Sarrià,False,,16,sale,,,,430000.0,3981.0,87627258,flat,Barcelona,4,False,108.0,renew,"Sarrià, Barcelona",Piso en BENET MATEU,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b0/ca/59/726621376.jpg,https://www.idealista.com/inmueble/87627258/
1,Calle del General Álvarez de Castro,1,es,,flat,Ciutat Vella,True,,2,False,False,True,False,False,41.3866647,2.1787237,Barcelona,Sant Pere - Santa Caterina i la Ribera,False,,17,sale,,,,330000.0,3837.0,87627067,flat,Barcelona,3,False,86.0,good,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Piso en Calle del General Álvarez de Castro,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cf/b0/42/726616933.jpg,https://www.idealista.com/inmueble/87627067/
2,barrio El Putxet i el Farró,3,es,,flat,Sarrià-Sant Gervasi,False,002544,2,True,False,True,True,True,41.401842,2.1438466,Barcelona,El Putxet i el Farró,False,,20,sale,,,,780000.0,4588.0,87627096,flat,Barcelona,4,False,170.0,renew,"El Putxet i el Farró, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8d/fe/dc/726617174.jpg,https://www.idealista.com/inmueble/87627096/
3,Calle Part Gran Via Corts Catalans,3,es,,flat,Eixample,True,VENTA GRAN VIA,4,False,False,True,False,False,41.3771216,2.1533597,Barcelona,La Nova Esquerra de l'Eixample,False,,11,sale,,,,430000.0,3468.0,87626991,flat,Barcelona,4,False,124.0,renew,"La Nova Esquerra de l'Eixample, Barcelona",Piso en Calle Part Gran Via Corts Catalans,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4d/c2/7e/726615072.jpg,https://www.idealista.com/inmueble/87626991/
4,Calle de Teodora Lamadrid,3,es,,flat,Sarrià-Sant Gervasi,True,665-19V,3,False,False,True,False,False,41.4052322,2.1352946,Barcelona,Sant Gervasi - La Bonanova,False,,34,sale,,,,795000.0,5803.0,87626826,flat,Barcelona,5,False,137.0,good,"Sant Gervasi - La Bonanova, Barcelona",Piso en Calle de Teodora Lamadrid,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6a/8d/e9/726611340.jpg,https://www.idealista.com/inmueble/87626826/
5,Calle del Poeta Cabanyes,2,es,,flat,Sants-Montjuïc,True,3-VST035,2,False,False,False,False,False,41.3715795,2.1644452,Barcelona,El Poble Sec - Parc de Montjuïc,False,,16,sale,,,,235000.0,3561.0,87626604,flat,Barcelona,2,False,66.0,renew,"El Poble Sec - Parc de Montjuïc, Barcelona",Piso en Calle del Poeta Cabanyes,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/95/9a/2a/749333904.jpg,https://www.idealista.com/inmueble/87626604/
6,Avenida Diagonal,1,es,,flat,Sarrià-Sant Gervasi,True,VB1911014,2,False,False,True,False,True,41.3954846,2.1516901,Barcelona,Sant Gervasi - Galvany,False,,20,sale,,,,398000.0,5307.0,87626532,flat,Barcelona,2,False,75.0,good,"Sant Gervasi - Galvany, Barcelona",Piso en Avenida Diagonal,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0e/7d/a4/761768170.jpg,https://www.idealista.com/inmueble/87626532/
7,Ronda del Guinardó,1,es,,flat,Gràcia,False,URB-082,2,False,False,True,False,False,41.4112318,2.1622248,Barcelona,La Salut,False,,20,sale,,,,295000.0,3688.0,87625838,flat,Barcelona,3,False,80.0,,"La Salut, Barcelona",Piso en Ronda del Guinardó,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/39/12/cd/726591139.jpg,https://www.idealista.com/inmueble/87625838/
8,"Calle Menorca, 200",1,es,,flat,Sant Martí,True,Sant Martí susana,3,False,False,True,False,False,41.4228665,2.2032848,Barcelona,La Verneda i la Pau,False,,8,sale,,,,250000.0,2500.0,87625207,flat,Barcelona,4,True,100.0,good,"La Verneda i la Pau, Barcelona","Piso en Calle Menorca, 200",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8c/34/bb/726575100.jpg,https://www.idealista.com/inmueble/87625207/
9,Calle de Villarroel,3,es,,flat,Eixample,True,VB1911013,2,False,False,True,True,True,41.3831806,2.1599069,Barcelona,L'Antiga Esquerra de l'Eixample,False,,40,sale,,,,720000.0,5000.0,87624473,flat,Barcelona,3,False,144.0,good,"L'Antiga Esquerra de l'Eixample, Barcelona",Piso en Calle de Villarroel,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/90/f7/2b/761767892.jpg,https://www.idealista.com/inmueble/87624473/
