index,address,bathrooms,country,detailedType.subTypology,detailedType.typology,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts.subtitle,suggestedTexts.title,thumbnail,url
0,barrio El Clot,2,es,,flat,Sant Martí,False,W-02HXDB,2,False,False,True,False,False,41.4115759,2.1887014,Barcelona,El Clot,False,,31,sale,True,True,,365000.0,4244.0,88631133,flat,Barcelona,4,False,86.0,good,"El Clot, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/20/10/2f/755950479.jpg,https://www.idealista.com/inmueble/88631133/
1,barrio Ciutat Meridiana - Torre Baró - Vallbona,2,es,independantHouse,chalet,Nou Barris,False,W-02I1HU,,False,False,,True,False,41.4554555,2.1739242,Barcelona,Ciutat Meridiana - Torre Baró - Vallbona,False,,34,sale,True,True,,330000.0,2357.0,88631132,chalet,Barcelona,3,False,140.0,good,"Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",Casa independiente,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f8/47/ac/756040064.jpg,https://www.idealista.com/inmueble/88631132/
2,barrio Les Corts,2,es,,flat,Les Corts,False,W-02H4S4,1,False,False,True,True,False,41.3894406,2.136753,Barcelona,Les Corts,False,,29,sale,,,,485000.0,4292.0,88631124,flat,Barcelona,3,False,113.0,renew,"Les Corts, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/70/a9/65/755930483.jpg,https://www.idealista.com/inmueble/88631124/
3,barrio Sant Pere - Santa Caterina i la Ribera,2,es,,flat,Ciutat Vella,False,NVK1273,4,False,False,False,True,False,41.3848974,2.1815224,Barcelona,Sant Pere - Santa Caterina i la Ribera,False,,39,sale,,,,975000.0,8405.0,88631001,flat,Barcelona,1,False,116.0,good,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9d/01/d4/751412825.jpg,https://www.idealista.com/inmueble/88631001/
4,barrio Sant Pere - Santa Caterina i la Ribera,2,es,,flat,Ciutat Vella,False,NVK1272,4,False,False,False,True,False,41.3833974,2.1816224,Barcelona,Sant Pere - Santa Caterina i la Ribera,False,,39,sale,,,,1280000.0,10240.0,88630996,flat,Barcelona,2,False,125.0,good,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/16/1c/76/751412585.jpg,https://www.idealista.com/inmueble/88630996/
5,barrio Sant Pere - Santa Caterina i la Ribera,2,es,,flat,Ciutat Vella,False,NVK1271,4,False,False,False,True,False,41.3810974,2.1821224,Barcelona,Sant Pere - Santa Caterina i la Ribera,False,,37,sale,,,,1145000.0,8179.0,88630989,flat,Barcelona,3,False,140.0,good,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/87/ef/f8/751412082.jpg,https://www.idealista.com/inmueble/88630989/
6,barrio Sant Pere - Santa Caterina i la Ribera,2,es,,flat,Ciutat Vella,False,NVK1270,4,False,False,False,True,False,41.3834974,2.1811224,Barcelona,Sant Pere - Santa Caterina i la Ribera,False,,39,sale,,,,900000.0,8182.0,88630987,flat,Barcelona,2,False,110.0,good,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5c/76/0a/751411837.jpg,https://www.idealista.com/inmueble/88630987/
7,barrio Sant Pere - Santa Caterina i la Ribera,2,es,,flat,Ciutat Vella,False,NVK1269,1,False,False,False,True,False,41.3812974,2.1816224,Barcelona,Sant Pere - Santa Caterina i la Ribera,False,,39,sale,,,,950000.0,8190.0,88630983,flat,Barcelona,2,False,116.0,good,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/62/1a/d1/751411458.jpg,https://www.idealista.com/inmueble/88630983/
8,barrio Sant Pere - Santa Caterina i la Ribera,2,es,,flat,Ciutat Vella,False,NVK1267,1,False,False,False,True,False,41.3849974,2.1785224,Barcelona,Sant Pere - Santa Caterina i la Ribera,False,,39,sale,,,,1145000.0,8179.0,88630956,flat,Barcelona,3,False,140.0,good,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4a/34/25/751410505.jpg,https://www.idealista.com/inmueble/88630956/
9,barrio Sant Pere - Santa Caterina i la Ribera,2,es,,flat,Ciutat Vella,False,NVK1266,3,False,False,False,True,False,41.3819974,2.1815224,Barcelona,Sant Pere - Santa Caterina i la Ribera,False,,40,sale,,,,995000.0,8578.0,88630947,flat,Barcelona,2,False,116.0,good,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1a/b5/a6/751410111.jpg,https://www.idealista.com/inmueble/88630947/
10,barrio Sant Pere - Santa Caterina i la Ribera,2,es,,flat,Ciutat Vella,False,NVK1265,1,False,False,False,True,False,41.3826974,2.1788224,Barcelona,Sant Pere - Santa Caterina i la Ribera,False,,39,sale,,,,875000.0,7543.0,88630941,flat,Barcelona,1,False,116.0,good,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c5/52/a0/751409847.jpg,https://www.idealista.com/inmueble/88630941/
