index,address,bathrooms,country,detailedType.subTypology,detailedType.typology,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts.subtitle,suggestedTexts.title,thumbnail,url
41,Flors,2,es,,flat,Ciutat Vella,True,v00157-FOPR1,4,False,False,False,False,True,41.3739583,2.1662564,Barcelona,El Raval,False,,27,sale,,,,380000.0,4130.0,88124103,flat,Barcelona,5,False,92.0,good,"El Raval, Barcelona",Piso en Flors,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6c/87/b5/739202402.jpg,https://www.idealista.com/inmueble/88124103/
42,Passatge Ciutadans,1,es,,flat,Sant Martí,True,003025,,False,False,True,False,False,41.4031962,2.2030949,Barcelona,El Poblenou,False,,32,sale,,,,290000.0,4754.0,88045896,flat,Barcelona,3,False,61.0,good,"El Poblenou, Barcelona",Piso en Passatge Ciutadans,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/46/78/0b/738617336.jpg,https://www.idealista.com/inmueble/88045896/
43,barrio Navas,2,es,,flat,Sant Andreu,True,PIS0779,en,False,False,True,False,False,41.4152666,2.1904832,Barcelona,Navas,False,,18,sale,,,,350000.0,3125.0,88123910,flat,Barcelona,4,False,112.0,good,"Navas, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/27/9c/78/740274467.jpg,https://www.idealista.com/inmueble/88123910/
44,"Calle de Còrsega, 274",1,es,,flat,Eixample,True,BARCELONA CÓRSEGA 274,2,False,False,True,False,False,41.3943172,2.1568044,Barcelona,La Dreta de l'Eixample,False,,9,sale,True,False,35000.0,670000.0,6091.0,88122923,flat,Barcelona,3,True,110.0,good,"La Dreta de l'Eixample, Barcelona","Piso en Calle de Còrsega, 274",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/63/a4/67/739172399.jpg,https://www.idealista.com/inmueble/88122923/
45,Paseo Taulat,2,es,,flat,Sant Martí,True,SF319,7,False,True,True,True,True,41.4089129,2.2141549,Barcelona,Diagonal Mar i el Front Marítim del Poblenou,False,,44,sale,True,True,,945000.0,7269.0,88122492,flat,Barcelona,3,False,130.0,good,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Piso en Paseo Taulat,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/01/0e/a9/751169100.jpg,https://www.idealista.com/inmueble/88122492/
46,"Calle del Bruc, 155",2,es,,flat,Eixample,True,119 Calle Bruc 155,3,False,False,True,True,True,41.3990899,2.1630421,Barcelona,La Dreta de l'Eixample,False,,23,sale,,,,560000.0,4786.0,88121901,flat,Barcelona,4,True,117.0,good,"La Dreta de l'Eixample, Barcelona","Piso en Calle del Bruc, 155",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/48/dd/8a/739149326.jpg,https://www.idealista.com/inmueble/88121901/
47,barrio Vallvidrera - El Tibidabo i les Planes,5,es,independantHouse,chalet,Sarrià-Sant Gervasi,False,4310,,True,False,,True,True,41.4116469,2.100045,Barcelona,Vallvidrera - El Tibidabo i les Planes,False,,51,sale,True,True,,1490000.0,3104.0,88106678,chalet,Barcelona,6,False,480.0,good,"Vallvidrera - El Tibidabo i les Planes, Barcelona",Casa independiente,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/63/56/c5/739125069.jpg,https://www.idealista.com/inmueble/88106678/
48,Calle de Margenat,5,es,torre,countryHouse,Sarrià-Sant Gervasi,False,V00152-FOSR1,,False,False,,True,False,41.4041744,2.1244194,Barcelona,Sant Gervasi - La Bonanova,False,,83,sale,True,True,,3175000.0,7436.0,88121043,countryHouse,Barcelona,4,False,427.0,renew,"Sant Gervasi - La Bonanova, Barcelona",Torre en Calle de Margenat,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/49/a0/98/739128916.jpg,https://www.idealista.com/inmueble/88121043/
49,Gran Via de les Corts Catalanes,1,es,,flat,Eixample,False,V32266,7,False,False,True,True,True,41.3859396,2.1615684,Barcelona,L'Antiga Esquerra de l'Eixample,False,,46,sale,,,,350000.0,5072.0,88120556,flat,Barcelona,2,False,69.0,good,"L'Antiga Esquerra de l'Eixample, Barcelona",Piso en Gran Via de les Corts Catalanes,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ab/98/1f/739120722.jpg,https://www.idealista.com/inmueble/88120556/
0,barrio El Gòtic,1,es,,flat,Ciutat Vella,True,BCN21988,,False,False,,False,False,41.3849392,2.1717562,Barcelona,El Gòtic,False,,24,sale,,,,300000.0,5769.0,88119818,flat,Barcelona,1,False,52.0,good,"El Gòtic, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/32/7d/9c/739100790.jpg,https://www.idealista.com/inmueble/88119818/
