index,address,bathrooms,country,detailedType.subTypology,detailedType.typology,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts.subtitle,suggestedTexts.title,thumbnail,url
0,barrio El Camp d'En Grassot i Gràcia Nova,3,es,,flat,Gràcia,True,ROH00349,2,False,False,True,False,False,41.4038914,2.163198,Barcelona,El Camp d'En Grassot i Gràcia Nova,False,,29,sale,,,,550000.0,4783.0,88832911,flat,Barcelona,3,False,115.0,good,"El Camp d'En Grassot i Gràcia Nova, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1e/04/e2/758926504.jpg,https://www.idealista.com/inmueble/88832911/
1,barrio La Barceloneta,1,es,,flat,Ciutat Vella,True,,1,False,False,False,False,True,41.3814379,2.1891574,Barcelona,La Barceloneta,False,,17,sale,,,,225000.0,4412.0,88832718,flat,Barcelona,3,False,51.0,renew,"La Barceloneta, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e1/ac/47/756526898.jpg,https://www.idealista.com/inmueble/88832718/
2,Calle de Francesc Carbonell,3,es,,flat,Sarrià-Sant Gervasi,True,ISBMS320,4,False,False,True,False,False,41.3933378,2.1250345,Barcelona,Sarrià,False,,71,sale,True,True,,1400000.0,7368.0,88470097,flat,Barcelona,4,False,190.0,good,"Sarrià, Barcelona",Piso en Calle de Francesc Carbonell,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c7/b9/bd/747530604.jpg,https://www.idealista.com/inmueble/88470097/
3,Passatge de Cantí,1,es,,flat,Sant Martí,False,13525,3,False,False,True,False,False,41.4008739,2.1996701,Barcelona,El Poblenou,False,,34,sale,,,,330000.0,4074.0,88832517,flat,Barcelona,4,False,81.0,renew,"El Poblenou, Barcelona",Piso en Passatge de Cantí,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/dc/55/bb/758387930.jpg,https://www.idealista.com/inmueble/88832517/
4,Calle del Lleó,1,es,,flat,Ciutat Vella,True,VVA1-2002,4,False,False,False,True,False,41.3820333,2.166393,Barcelona,El Raval,False,,18,sale,,,,157000.0,3738.0,88832437,flat,Barcelona,1,False,42.0,good,"El Raval, Barcelona",Piso en Calle del Lleó,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/dc/12/c6/758758279.jpg,https://www.idealista.com/inmueble/88832437/
5,Salva,1,es,,flat,Sants-Montjuïc,True,077,en,False,False,True,True,True,41.3741035,2.164518,Barcelona,El Poble Sec - Parc de Montjuïc,False,,17,sale,,,,187000.0,3339.0,88832129,flat,Barcelona,3,False,56.0,good,"El Poble Sec - Parc de Montjuïc, Barcelona",Piso en Salva,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f0/b0/dd/756511043.jpg,https://www.idealista.com/inmueble/88832129/
6,barrio El Raval,1,es,,flat,Ciutat Vella,True,OLG-LL259,3,False,False,True,False,False,41.3814826,2.1683728,Barcelona,El Raval,False,,19,sale,,,,259000.0,3866.0,88832201,flat,Barcelona,2,False,67.0,good,"El Raval, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8b/ba/77/756514077.jpg,https://www.idealista.com/inmueble/88832201/
7,barrio El Raval,1,es,,flat,Ciutat Vella,False,FEC0118,3,False,False,True,False,True,41.384305,2.1642388,Barcelona,El Raval,False,,17,sale,,,,265000.0,4569.0,88832194,flat,Barcelona,2,False,58.0,good,"El Raval, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b7/22/e6/756512162.jpg,https://www.idealista.com/inmueble/88832194/
8,Gran Via de les Corts Catalanes s/n,1,es,,flat,Sants-Montjuïc,True,,5,False,False,True,False,False,41.3687119,2.1410641,Barcelona,La Font de la Guatlla,False,,9,sale,,,,250000.0,4167.0,88832146,flat,Barcelona,3,True,60.0,good,"La Font de la Guatlla, Barcelona",Piso en Gran Via de les Corts Catalanes s/n,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3d/36/49/756511413.jpg,https://www.idealista.com/inmueble/88832146/
9,MURTRA,1,es,,flat,Horta Guinardó,True,147-5693,2,False,False,False,False,False,41.4222963,2.1535187,Barcelona,El Carmel,False,,17,sale,,,,210000.0,2838.0,88831671,flat,Barcelona,3,False,74.0,good,"El Carmel, Barcelona",Piso en MURTRA,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/80/00/3e/756500268.jpg,https://www.idealista.com/inmueble/88831671/
