index,address,bathrooms,country,detailedType.subTypology,detailedType.typology,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts.subtitle,suggestedTexts.title,thumbnail,url
3,Calle de Sostres,1,es,,flat,Gràcia,True,1640,1,False,False,True,True,True,41.4135129,2.1514205,Barcelona,Vallcarca i els Penitents,False,,21,sale,,,,257000.0,3620.0,88688320,flat,Barcelona,3,False,71.0,good,"Vallcarca i els Penitents, Barcelona",Piso en Calle de Sostres,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c2/7e/bb/752741302.jpg,https://www.idealista.com/inmueble/88688320/
4,Avenida Meridiana con Calle Aragó s/n,2,es,,flat,Sant Martí,True,BMER,1,False,False,True,True,True,41.4091603,2.1872188,Barcelona,El Clot,True,False,14,sale,,,,459000.0,4636.0,88688525,flat,Barcelona,3,True,99.0,newdevelopment,"El Clot, Barcelona",Piso en Avenida Meridiana con Calle Aragó s/n,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e8/2a/db/737137888.jpg,https://www.idealista.com/obra-nueva/88688525/
5,Calle Benavent,2,es,,flat,Les Corts,True,,6,True,False,True,False,False,41.3768791,2.1264518,Barcelona,La Maternitat i Sant Ramon,False,,21,sale,,,,370000.0,3663.0,88688457,flat,Barcelona,3,False,101.0,good,"La Maternitat i Sant Ramon, Barcelona",Piso en Calle Benavent,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fe/1d/4c/752740359.jpg,https://www.idealista.com/inmueble/88688457/
6,Arco de Sant Martí,2,es,,flat,Horta Guinardó,True,001-728,4,False,False,True,False,False,41.4258475,2.1704865,Barcelona,La Font d'En Fargues,False,,20,sale,,,,339000.0,3645.0,88688468,flat,Barcelona,3,False,93.0,good,"La Font d'En Fargues, Barcelona",Piso en Arco de Sant Martí,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b0/c2/3e/752740456.jpg,https://www.idealista.com/inmueble/88688468/
7,Sant Miquel,1,es,penthouse,flat,Ciutat Vella,True,CR1194,4,True,False,False,False,False,41.378355,2.1905655,Barcelona,La Barceloneta,False,,18,sale,,,,189000.0,5906.0,88688448,penthouse,Barcelona,1,False,32.0,good,"La Barceloneta, Barcelona",Ático en Sant Miquel,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/15/f5/d0/752740495.jpg,https://www.idealista.com/inmueble/88688448/
8,Calle de Cantàbria,1,es,,flat,Sant Martí,True,PT-8,11,False,False,True,True,True,41.4223957,2.2007028,Barcelona,Sant Martí de Provençals,False,,11,sale,,,,222900.0,3184.0,88688396,flat,Barcelona,3,False,70.0,good,"Sant Martí de Provençals, Barcelona",Piso en Calle de Cantàbria,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ab/73/59/752740128.jpg,https://www.idealista.com/inmueble/88688396/
9,Calle dels Cortada,1,es,,flat,Horta Guinardó,True,FV039,bj,False,False,False,True,False,41.4249962,2.1460396,Barcelona,La Teixonera,False,,28,sale,,,,109000.0,1758.0,88688363,flat,Barcelona,2,False,62.0,good,"La Teixonera, Barcelona",Piso en Calle dels Cortada,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5c/cd/cf/752738836.jpg,https://www.idealista.com/inmueble/88688363/
10,Calle de Santaló,1,es,,flat,Sarrià-Sant Gervasi,False,,1,False,False,True,True,True,41.3993013,2.1416891,Barcelona,Sant Gervasi - Galvany,False,,21,sale,,,,345000.0,4726.0,88688101,flat,Barcelona,2,False,73.0,good,"Sant Gervasi - Galvany, Barcelona",Piso en Calle de Santaló,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c7/3f/4c/752734056.jpg,https://www.idealista.com/inmueble/88688101/
11,Calle Botella,1,es,,flat,Ciutat Vella,True,DS1310,4,True,False,True,False,False,41.3787566,2.1640416,Barcelona,El Raval,False,,18,sale,,,,296000.0,4111.0,88688291,flat,Barcelona,2,False,72.0,good,"El Raval, Barcelona",Piso en Calle Botella,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6a/6c/86/752737443.jpg,https://www.idealista.com/inmueble/88688291/
12,Calle del Comte d'Urgell,2,es,,flat,Eixample,True,DUX0044,1,False,False,True,False,False,41.3830214,2.1588345,Barcelona,L'Antiga Esquerra de l'Eixample,False,,19,sale,,,,650000.0,5118.0,88688316,flat,Barcelona,3,False,127.0,good,"L'Antiga Esquerra de l'Eixample, Barcelona",Piso en Calle del Comte d'Urgell,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4d/c4/64/752737569.jpg,https://www.idealista.com/inmueble/88688316/
